scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
20250323161241,31168921,1.0,2.0,,55.64193,12.60102,2.0,1.0,1.0,2.0,3.0,90,3.0,3.0,90,90,3.0,90.0,,29,59,89,364,33.0,0.0,0.0,283,0.0,0.0,0.0,4.79,4.88,4.91,4.94,4.94,4.45,4.7,,1.0,0.0,1.0,0.0
20250323161241,39525157,1.0,1.0,,55.68815,12.58523,2.0,,1.0,,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,0,0,0,0,13.0,0.0,0.0,0,0.0,0.0,,4.54,4.85,4.31,4.77,4.92,4.92,4.62,,1.0,1.0,0.0,0.0
20250323161241,2305216,1.0,1.0,,55.66991,12.55931,2.0,1.0,1.0,1.0,5.0,12,5.0,5.0,12,12,5.0,12.0,,23,31,34,34,4.0,0.0,0.0,34,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,,1.0,1.0,0.0,0.0
20250323161241,40614778,1.0,1.0,,55.68824,12.56263,6.0,1.5,4.0,5.0,5.0,1125,5.0,5.0,1125,1125,5.0,1125.0,,29,42,49,284,99.0,9.0,0.0,202,9.0,90.0,251100.0,4.82,4.86,4.74,4.94,4.93,4.92,4.68,,1.0,1.0,0.0,0.0
20250323161241,2989310,1.0,1.0,,55.6694,12.53701,1.0,1.0,1.0,1.0,3.0,5,2.0,3.0,1125,1125,3.0,1125.0,,1,1,1,169,145.0,9.0,0.0,88,10.0,54.0,29700.0,4.81,4.94,4.77,4.92,4.96,4.84,4.8,,1.0,0.0,1.0,0.0
20250323161241,40716631,2.0,2.0,,55.66293,12.60209,2.0,,,,3.0,14,3.0,3.0,14,14,3.0,14.0,,0,0,0,0,75.0,7.0,0.0,0,7.0,42.0,,4.95,4.97,4.84,4.99,4.96,4.91,4.85,,1.0,0.0,1.0,0.0
20250323161241,3496697,2.0,2.0,,55.66998,12.54971,3.0,,2.0,,6.0,50,6.0,6.0,50,50,6.0,50.0,,0,0,0,0,57.0,5.0,0.0,0,5.0,60.0,,4.93,4.88,4.84,4.86,4.98,4.93,4.91,,1.0,1.0,0.0,0.0
20250323161241,10063766,2.0,2.0,,55.72303,12.52285,1.0,1.0,1.0,1.0,14.0,200,14.0,14.0,200,200,14.0,200.0,,4,4,4,32,43.0,2.0,0.0,8,1.0,56.0,19656.0,4.91,4.95,4.91,5.0,4.9,4.75,4.95,,2.0,0.0,2.0,0.0
20250323161241,1732498,1.0,1.0,,55.69616,12.54485,2.0,,1.0,,2.0,14,2.0,2.0,14,14,2.0,14.0,,0,0,0,0,74.0,0.0,0.0,0,0.0,0.0,,5.0,4.95,4.92,4.92,5.0,4.86,4.84,,1.0,1.0,0.0,0.0
20250323161241,4946838,1.0,3.0,,55.68921,12.5239,6.0,1.0,4.0,5.0,6.0,21,6.0,6.0,21,21,6.0,21.0,,0,0,0,97,15.0,0.0,0.0,97,0.0,0.0,0.0,4.93,5.0,5.0,4.86,5.0,5.0,5.0,,1.0,1.0,0.0,0.0
20250323161241,35493098,1.0,1.0,,55.69668,12.52771,2.0,1.0,2.0,1.0,3.0,1125,4.0,4.0,1125,1125,4.0,1125.0,,0,4,8,21,37.0,0.0,0.0,21,0.0,0.0,0.0,4.84,4.81,4.95,4.81,4.92,4.38,4.78,,1.0,1.0,0.0,0.0
